ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
896,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
608,44,33,10,151,SIM,ASSINANTE,M,18.06.1976 00:00:00,DE 3SM ATE 4SM
847,4,1,0,3,SIM,ASSINANTE,M,13.05.1996 00:00:00,
3432,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1981,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3435,0,16,5,84,SIM,ASSINANTE,M,20.02.1982 00:00:00,DE 14SM ATE 25SM
3350,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2295,50,59,117,708,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3627,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1869,19,13,1,44,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
260,18,22,0,84,SIM,ASSINANTE,M,23.07.1984 00:00:00,DE 3SM ATE 4SM
3144,102,35,0,212,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
949,36,35,203,92,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
259,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
3444,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1320,24,33,85,0,NAO,ASSINANTE,M,05.10.1960 00:00:00,
179,67,41,1,344,SIM,ASSINANTE,M,01.01.1900 00:00:00,
858,20,48,324,126,SIM,ASSINANTE,M,04.06.1959 00:00:00,DE 14SM ATE 25SM
754,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1212,5,4,0,16,SIM,ASSINANTE,M,01.01.1900 00:00:00,
1268,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
1393,0,8,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3460,6,8,4,1,NAO,ASSINANTE,M,22.11.1955 00:00:00,
1245,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3719,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2083,4,39,47,88,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3729,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
3400,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2693,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
12,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
856,0,2,2,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1651,0,0,0,0,NAO,ASSINANTE,M,11.02.1964 00:00:00,DE 8SM ATE 14SM
479,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2943,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2473,9,18,10,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,ACIMA DE 25SM
457,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
80,15,18,0,54,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2778,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3368,0,8,0,131,SIM,ASSINANTE,M,01.01.1900 00:00:00,
2976,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1222,6,11,15,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
3136,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
521,0,5,0,16,SIM,ASSINANTE,M,17.12.1978 00:00:00,DE 4SM ATE 8SM
2431,48,30,21,1,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2804,2,1,2,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
817,18,21,0,85,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
1308,4,9,1,44,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1504,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
3001,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
2198,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1092,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2249,26,6,4,1,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2027,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1307,0,0,0,0,NAO,ASSINANTE,M,19.02.1999 00:00:00,
2281,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3256,2,7,8,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3191,15,42,155,5,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3054,1,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2556,1,1,1,1,NAO,ASSINANTE,M,27.01.1970 00:00:00,DE 3SM ATE 4SM
129,6,3,6,2,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2370,4,2,2,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3773,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
60,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
212,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1396,17,25,0,111,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
698,2,7,1,51,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
513,6,9,8,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2855,2,1,0,4,SIM,ASSINANTE,M,01.01.1900 00:00:00,
474,0,2,0,6,SIM,ASSINANTE,F,01.01.1900 00:00:00,
2087,4,3,0,9,SIM,ASSINANTE,M,01.01.1900 00:00:00,
3392,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1523,21,41,43,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
387,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
2095,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2355,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1959,83,43,14,164,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1696,0,0,0,0,NAO,ASSINANTE,M,13.08.1958 00:00:00,DE 4SM ATE 8SM
1300,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
680,0,19,7,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
595,44,24,0,108,SIM,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1015,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1273,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
431,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
44,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3542,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3762,2,5,5,2,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2443,16,14,15,4,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
2268,18,5,11,9,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1938,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1400,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
390,5,11,0,77,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
3581,52,31,20,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
1426,9,46,0,275,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
334,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
1999,232,57,382,970,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 2SM ATE 3SM
2197,78,34,13,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
740,12,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1077,4,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3008,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3051,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
1844,20,58,286,0,NAO,ASSINANTE,F,17.03.1972 00:00:00,DE 3SM ATE 4SM
3516,2,11,7,0,NAO,ASSINANTE,M,,DE 14SM ATE 25SM
2771,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3134,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 14SM ATE 25SM
2789,0,3,2,0,NAO,ASSINANTE,M,,DE 3SM ATE 4SM
3128,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3183,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
763,74,29,13,9,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3262,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3034,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3493,0,8,1,10,NAO,ASSINANTE,M,,DE 3SM ATE 4SM
642,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
313,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
